Raw Gaze R,Raw Gaze L,Gaze Mid X,Gaze Mid Y,Time
|Point2d(x=0.379048, y=0.032321)|,|Point2d(x=0.404784, y=0.054333)|,0.3919159770011902,0.04332725889980793,1580609978.699506
|Point2d(x=0.380644, y=0.031627)|,|Point2d(x=0.404783, y=0.050757)|,0.39271339774131775,0.04119163937866688,1580609978.711346
|Point2d(x=0.374511, y=0.034898)|,|Point2d(x=0.404270, y=0.048306)|,0.3893902599811554,0.04160195216536522,1580609978.722724
|Point2d(x=0.377685, y=0.044002)|,|Point2d(x=0.404123, y=0.051196)|,0.3909040689468384,0.04759905859827995,1580609978.732881
|Point2d(x=0.384302, y=0.043983)|,|Point2d(x=0.403773, y=0.056789)|,0.3940379172563553,0.050386253744363785,1580609978.744819
|Point2d(x=0.392191, y=0.046433)|,|Point2d(x=0.403646, y=0.059753)|,0.3979184776544571,0.05309281684458256,1580609978.755866
|Point2d(x=0.391884, y=0.040255)|,|Point2d(x=0.404143, y=0.060088)|,0.39801348745822906,0.050171710550785065,1580609978.766371
|Point2d(x=0.385359, y=0.041671)|,|Point2d(x=0.404522, y=0.057397)|,0.3949401080608368,0.049533724784851074,1580609978.777953
|Point2d(x=0.383392, y=0.033731)|,|Point2d(x=0.403582, y=0.062235)|,0.3934866636991501,0.04798278398811817,1580609978.78923
|Point2d(x=0.383161, y=0.033892)|,|Point2d(x=0.403817, y=0.063748)|,0.3934890925884247,0.048819681629538536,1580609978.799356
|Point2d(x=0.383336, y=0.034672)|,|Point2d(x=0.404330, y=0.066169)|,0.39383287727832794,0.05042063258588314,1580609978.81136
|Point2d(x=0.385725, y=0.043296)|,|Point2d(x=0.398750, y=0.060641)|,0.3922376185655594,0.05196862295269966,1580609978.822162
|Point2d(x=0.383198, y=0.044136)|,|Point2d(x=0.396448, y=0.055532)|,0.3898232728242874,0.04983415827155113,1580609978.832809
|Point2d(x=0.383728, y=0.042740)|,|Point2d(x=0.396640, y=0.055712)|,0.3901837021112442,0.04922616295516491,1580609978.844782
|Point2d(x=0.384280, y=0.046616)|,|Point2d(x=0.400492, y=0.055854)|,0.3923860341310501,0.051235256716609,1580609978.855866
|Point2d(x=0.384523, y=0.043702)|,|Point2d(x=0.400891, y=0.067438)|,0.39270684123039246,0.0555700846016407,1580609978.866161
|Point2d(x=0.381550, y=0.048840)|,|Point2d(x=0.401426, y=0.065035)|,0.3914881497621536,0.0569376889616251,1580609978.877879
|Point2d(x=0.380142, y=0.045561)|,|Point2d(x=0.401796, y=0.063250)|,0.39096906781196594,0.05440535768866539,1580609978.889042
|Point2d(x=0.385957, y=0.046965)|,|Point2d(x=0.404728, y=0.060257)|,0.3953425735235214,0.0536107923835516,1580609978.899361
